"","CST","Max.TemperatureC","Mean.TemperatureC","Min.TemperatureC","DewPointC","MeanDew.PointC","Min.DewpointC","Max.Humidity","Mean.Humidity","MinHumidity","Max.Sea.Level.PressurehPa","Mean.Sea.Level.PressurehPa","Min.SeaLevel.PressurehPa","MaxVisibilityKm","Mean.VisibilityKm","MinVisibilitykM","Max.Wind.SpeedKm.h","Mean.Wind.SpeedKm.h","Max.GustSpeedKm.h","Precipitationmm","CloudCover","Events","WindDirDegrees"
"1","2000-1-1",-4,-8,-13,-4,-9,-14,100,96,89,1016,1010,1005,NA,NA,NA,34,21,45,0,NA,NA,108
"2","2000-1-2",-1,-11,-22,-1,-19,-23,100,90,86,1025,1020,1013,NA,NA,NA,24,16,NA,0,NA,NA,60
"3","2000-1-3",-17,-23,-29,-18,-22,-31,94,89,83,1034,1031,1026,NA,NA,NA,23,11,NA,0,NA,NA,323
"4","2000-1-4",-1,-15,-29,-1,-19,-31,100,92,83,1031,1017,1004,NA,NA,NA,35,18,NA,0,NA,NA,139
"5","2000-1-5",-9,-12,-16,-9,-14,-17,99,95,89,1018,1011,1003,NA,NA,NA,39,21,48,0,NA,NA,310
"6","2000-1-6",-13,-16,-19,-14,-18,-21,98,90,86,1025,1023,1019,NA,NA,NA,35,23,47,0,NA,NA,313
"7","2000-1-7",1,-6,-12,-2,-6,-12,99,93,83,1019,1011,1009,NA,NA,NA,29,18,NA,1.52,NA,NA,226
"8","2000-1-8",-2,-4,-7,-4,-6,-8,96,93,84,1009,1005,998,NA,NA,NA,23,14,NA,0,NA,NA,189
"9","2000-1-9",-2,-8,-13,-3,-7,-13,98,88,71,1000,998,993,NA,NA,NA,29,14,NA,0,NA,NA,252
"10","2000-1-10",-1,-12,-23,-1,-12,-25,100,94,85,1014,1003,990,NA,NA,NA,47,21,50,0,NA,NA,346
"11","2000-1-11",-20,-24,-29,-22,-26,-31,91,87,82,1023,1020,1015,NA,NA,NA,26,10,NA,0,NA,NA,45
"12","2000-1-12",-16,-20,-23,-17,-21,-26,94,87,81,1028,1023,1020,NA,NA,NA,35,27,47,0,NA,NA,127
"13","2000-1-13",-14,-19,-24,-14,-19,-26,98,93,89,1038,1034,1029,NA,NA,NA,27,13,NA,0,NA,NA,36
"14","2000-1-14",-11,-13,-14,-11,-13,-15,99,96,89,1030,1026,1022,NA,NA,NA,32,19,NA,0,NA,NA,24
"15","2000-1-15",-14,-22,-31,-14,-21,-33,98,91,83,1039,1027,1020,NA,NA,NA,26,10,NA,0,NA,NA,317
"16","2000-1-16",-1,-16,-31,-1,-19,-33,100,90,82,1040,1031,1016,NA,NA,NA,52,23,64,0,NA,NA,136
"17","2000-1-17",-3,-10,-19,-5,-13,-20,99,91,84,1026,1019,1012,NA,NA,NA,40,27,53,0,NA,NA,279
"18","2000-1-18",-14,-17,-21,-15,-18,-22,94,91,89,1029,1027,1026,NA,NA,NA,24,10,NA,0,NA,NA,313
"19","2000-1-19",-11,-16,-21,-11,-17,-22,98,92,83,1031,1028,1025,NA,NA,NA,24,14,NA,0,NA,NA,301
"20","2000-1-20",-15,-19,-23,-15,-21,-24,98,93,90,1027,1026,1022,NA,NA,NA,24,13,NA,0,NA,NA,301
"21","2000-1-21",-7,-14,-21,-8,-14,-22,98,95,90,1022,1011,1006,NA,NA,NA,45,19,29,0,NA,NA,153
"22","2000-1-22",-10,-13,-17,-11,-14,-18,97,92,88,1023,1016,1008,NA,NA,NA,47,35,61,0,NA,NA,326
"23","2000-1-23",-6,-12,-19,-8,-14,-20,95,89,81,1024,1020,1014,NA,NA,NA,24,16,NA,0,NA,NA,267
"24","2000-1-24",-7,-10,-16,-8,-11,-16,98,92,83,1030,1023,1016,NA,NA,NA,29,23,40,0,NA,NA,305
"25","2000-1-25",-8,-14,-21,-9,-16,-22,99,94,91,1031,1028,1023,NA,NA,NA,26,11,NA,0,NA,NA,140
"26","2000-1-26",-6,-11,-16,-6,-10,-17,99,93,89,1022,1018,1016,NA,NA,NA,27,24,NA,0,NA,NA,132
"27","2000-1-27",-5,-8,-10,-6,-7,-10,100,98,92,1027,1022,1017,NA,NA,NA,24,13,NA,0,NA,NA,227
"28","2000-1-28",-6,-10,-16,-7,-9,-16,99,94,81,1030,1028,1027,NA,NA,NA,11,5,NA,0,NA,NA,221
"29","2000-1-29",-4,-11,-18,-6,-13,-18,99,95,89,1031,1030,1029,NA,NA,NA,19,11,NA,0,NA,NA,146
"30","2000-1-30",-2,-9,-17,-4,-11,-17,99,95,80,1029,1024,1022,NA,NA,NA,19,13,NA,0,NA,NA,191
"31","2000-1-31",-8,-14,-21,-8,-14,-22,100,97,92,1028,1025,1022,NA,NA,NA,21,10,NA,0,NA,NA,135
"32","2000-2-1",1,-6,-11,-2,-7,-11,100,96,79,1027,1018,1007,NA,NA,NA,27,19,NA,0,NA,NA,158
"33","2000-2-2",3,0,-3,2,-1,-3,97,90,80,1022,1012,1005,NA,NA,NA,47,27,58,0,NA,NA,295
"34","2000-2-3",-3,-7,-12,-4,-8,-12,99,92,80,1039,1031,1022,NA,NA,NA,48,32,60,0,NA,NA,323
"35","2000-2-4",0,-9,-18,-3,-12,-19,99,91,69,1038,1034,1027,NA,NA,NA,14,10,NA,0,NA,NA,214
"36","2000-2-5",-3,-11,-18,-6,-11,-18,100,93,81,1029,1027,1025,NA,NA,NA,23,10,NA,0,NA,NA,120
"37","2000-2-6",-8,-12,-17,-8,-13,-18,99,97,91,1033,1026,1022,NA,NA,NA,32,14,NA,0,NA,NA,306
"38","2000-2-7",-2,-11,-20,-5,-13,-21,99,93,80,1033,1029,1020,NA,NA,NA,13,6,NA,0,NA,NA,168
"39","2000-2-8",4,-2,-9,1,-2,-9,100,93,80,1018,1013,1008,NA,NA,NA,34,16,NA,0,NA,NA,288
"40","2000-2-9",-3,-9,-15,-3,-9,-16,99,95,89,1025,1020,1017,NA,NA,NA,34,21,NA,0,NA,NA,65
"41","2000-2-10",-16,-21,-25,-17,-23,-27,94,84,78,1033,1030,1026,NA,NA,NA,23,16,NA,0,NA,NA,328
